,ID,Фамилия,Имя,Отчество,Организация,Аффилиации,Город
897,787,Чеботарев,Павел,Юрьевич,ИПУ РАН,"2019;Institute of Control Sciences of the Russian Academy of Sciences, 2019;Moscow Inst Phys &amp; Technol, Moscow, Russia, 2019;Russian Acad Sci, Kotelnikov Inst Radioengn &amp; Elect, Moscow, Russia, 2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;V.A. TRAPEZNIKOV INSTITUTE OF CONTROL SCIENCES OF RAS, MOSCOW, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
898,554,Парсегов,Сергей,Эрнестович,ИПУ РАН,,Москва
899,6,Абраменков,Александр,Николаевич,ИПУ РАН,"2019;Laboratory of Automated Queuing Systems and Signal Processing, V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Science, Moscow, 117997, Russian Federation, 2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
900,42456,Панкратова,Екатерина,Владимировна,ИПУ РАН,"2019;RAS, VA Trapeznikov Inst Control Sci, Profsouznaya 65, Moscow 117342, Russia, 2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 65 Profsoyuznaya Street, Moscow, 117997, Russian Federation",Москва
901,417,Куприянов,Борис,Васильевич,ИПУ РАН,"2019;Institute of Control Sciences of Russian Academy of Sciences IPU RAS, 2019;Институт проблем управления РАН, 2019;Институт проблем управления им. В.А. Трапезникова",Москва
902,69385,Богачева,Дарья,Николаевна,ИПУ РАН,,Москва
903,51572,Коробейников,Илья,Сергеевич,ИПУ РАН,2019;Институт проблем управления имени В. А. Трапезникова РАН,Москва
904,10,Авдеева,Зинаида,Константиновна,ИПУ РАН,"2019;ICS RAS, 2019;Institute for Management Problems of the Russian Academy of Sciences, 2019;RAS, VA Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Trapeznikov&#039;s Institute of Control Sciences of RAS, Profsouznaya st., 65, Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
905,230,Добровидов,Александр,Викторович,ИПУ РАН,,Москва
906,9970,Шатов,Дмитрий,Владимирович,ИПУ РАН,"2019;V.A. Trapeznikov Institute of Control Sciences of RAS, Moscow, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
907,462,Маклаков,Владимир,Васильевич,ИПУ РАН,"2019;V. A. Trapeznikov Institute of Control Sciences, Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
908,12559,Макаренко,Андрей,Викторович,ИПУ РАН,"2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
909,68337,Тутуров,Алексей,Александрович,ИПУ РАН,,Москва
911,501,Морозов,Михаил,Владимирович,ИПУ РАН,"2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
912,46323,Данилов,Владимир,Александрович,ИПУ РАН,,Москва
913,41823,Антипин,Сергей,Иванович,ИПУ РАН,2019;Институт проблем управления имени В. А. Трапезникова РАН,Москва
914,28588,Куракин,Павел,Вячеславович,ИПУ РАН,"2019;Институт прикладной математики им. М. В. Келдыша РАН, 2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
915,258,Жилякова,Людмила,Юрьевна,ИПУ РАН,"2019;RAS, Trapeznikov Inst Control Sci, Moscow 117997, Russia, 2019;Russian Acad Sci, Trapeznikov Inst Control Sci, Moscow, Russia, 2019;V. A. Trapeznikov Institute of Control Sciences of RAS, Moscow, Russian Federation, 2019;V. A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 65, Profsoyuznaya Street, Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
916,42553,Бузиков,Максим,Эмонайевич,ИПУ РАН,"2019;Lomonosov Moscow State University, Lenin Hills, 1, Moscow, 119991, Russian Federation, 2019;Trapeznikov Institute of Control Sciences of RAS, ul. Profsoyuznayz, 65, Moscow, 117997, Russian Federation, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
917,47155,Самохин,Александр,Сергеевич,ИПУ РАН,"2019;ИПУ им. В.А. Трапезникова РАН, 2019;МГУ им. М.В. Ломоносова, 2019;РУДН",Москва
918,28590,Шумов,Александр,Сергеевич,ИПУ РАН,"2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, 65 Profsoyuznaya, Moscow 117997, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
920,44128,Самохин,Алексей,Васильевич,ИПУ РАН,"2019;Institute of Control Science, Russian Academy of Sciences, 2020;Institute of Control Sciences of Russian Academy of Sciences",Москва
921,41356,Белов,Иван,Романович,ИПУ РАН,"2019;V.A.Trapeznikov, Institute of Control Sciences of Russian Academy of Sciences, Moscow, Russian Federation, 2019;Институт проблем управления им. В. А. Трапезникова РАН",Москва
922,690,Степанов,Вадим,Вячеславович,ИПУ РАН,,Москва
